Date,Open,High,Low,Close,Adj Close,Volume
2020-06-01,1.030000,1.090000,1.005000,1.032500,1.032500,10446400
2020-06-02,1.067500,1.077500,1.015000,1.045000,1.045000,9477600
2020-06-03,1.060000,1.130000,1.050000,1.110000,1.110000,12149600
2020-06-04,1.110000,1.180000,1.092500,1.117500,1.117500,14057200
2020-06-05,1.072500,1.102500,1.022500,1.035000,1.035000,25097600
2020-06-08,1.070000,1.285000,1.067500,1.252500,1.252500,40534800
2020-06-09,1.250000,1.250000,1.137500,1.240000,1.240000,32293600
2020-06-10,1.195000,1.382500,1.170000,1.267500,1.267500,42425600
2020-06-11,1.160000,1.225000,1.045000,1.092500,1.092500,24944000
2020-06-12,1.150000,1.195000,1.097500,1.180000,1.180000,17512800
2020-06-15,1.125000,1.192500,1.105000,1.172500,1.172500,15636000
2020-06-16,1.237500,1.237500,1.127500,1.160000,1.160000,12485200
2020-06-17,1.135000,1.207500,1.132500,1.190000,1.190000,14374000
2020-06-18,1.167500,1.237500,1.162500,1.237500,1.237500,13695200
2020-06-19,1.237500,1.270000,1.172500,1.220000,1.220000,29466400
2020-06-22,1.197500,1.237500,1.180000,1.217500,1.217500,12715600
2020-06-23,1.237500,1.247500,1.200000,1.207500,1.207500,12821600
2020-06-24,1.207500,1.210000,1.095000,1.102500,1.102500,11904800
2020-06-25,1.082500,1.135000,1.075000,1.115000,1.115000,9803200
2020-06-26,1.120000,1.125000,1.067500,1.087500,1.087500,15204800
2020-06-29,1.087500,1.130000,1.075000,1.095000,1.095000,8524800
2020-06-30,1.082500,1.127500,1.050000,1.085000,1.085000,15556000
2020-07-01,1.077500,1.125000,1.077500,1.110000,1.110000,9214800
2020-07-02,1.122500,1.127500,1.072500,1.072500,1.072500,7550400
2020-07-06,1.077500,1.085000,1.047500,1.060000,1.060000,8563600
2020-07-07,1.050000,1.062500,1.015000,1.022500,1.022500,9826400
2020-07-08,1.025000,1.072500,1.007500,1.065000,1.065000,8211200
2020-07-09,1.067500,1.080000,1.032500,1.052500,1.052500,7970400
2020-07-10,1.050000,1.095000,1.045000,1.085000,1.085000,5643200
2020-07-13,1.087500,1.137500,1.065000,1.065000,1.065000,16864800
2020-07-14,1.055000,1.077500,1.017500,1.020000,1.020000,9046400
2020-07-15,1.032500,1.072500,1.032500,1.047500,1.047500,5896400
2020-07-16,1.047500,1.050000,1.022500,1.042500,1.042500,5320400
2020-07-17,1.040000,1.057500,0.985000,0.990000,0.990000,12263600
2020-07-20,0.987500,1.015000,0.942500,0.962500,0.962500,13604400
2020-07-21,0.975000,1.022500,0.970000,1.002500,1.002500,13351600
2020-07-22,1.005000,1.030000,0.980000,1.027500,1.027500,10094000
2020-07-23,1.022500,1.077500,1.015000,1.027500,1.027500,12948800
2020-07-24,1.015000,1.057500,1.002500,1.007500,1.007500,8863600
2020-07-27,1.005000,1.030000,0.987500,1.002500,1.002500,9890800
2020-07-28,0.990000,1.012500,0.980000,0.985000,0.985000,18221600
2020-07-29,0.985000,1.045000,0.980000,1.015000,1.015000,11518400
2020-07-30,1.000000,1.057500,0.992500,1.025000,1.025000,9594000
2020-07-31,1.015000,1.040000,0.997500,1.002500,1.002500,7517600
2020-08-03,1.007500,1.062500,1.000000,1.037500,1.037500,10070400
2020-08-04,1.032500,1.185000,1.032500,1.107500,1.107500,41445600
2020-08-05,1.125000,1.190000,1.062500,1.157500,1.157500,19677200
2020-08-06,1.150000,1.165000,1.095000,1.107500,1.107500,7604800
2020-08-07,1.097500,1.100000,1.015000,1.040000,1.040000,13364400
2020-08-10,1.050000,1.142500,1.045000,1.082500,1.082500,18247200
2020-08-11,1.107500,1.142500,1.085000,1.087500,1.087500,12555200
2020-08-12,1.100000,1.157500,1.090000,1.130000,1.130000,12230400
2020-08-13,1.130000,1.177500,1.125000,1.160000,1.160000,8513200
